2536.85 [150 x 249 from (28, 174)]
2536.85 [152 x 200 from (472, 242)]

2603.65 [146 x 177 from (41, 193)]
2603.65 [132 x 198 from (464, 208)]

2669.38 [122 x 185 from (449, 190)]
2669.38 [136 x 164 from (57, 182)]

2733.9 [132 x 164 from (72, 172)]
2733.9 [116 x 169 from (434, 181)]

2802.93 [134 x 142 from (81, 190)]
2802.93 [106 x 156 from (425, 186)]

2898.11 [133 x 149 from (86, 188)]
2898.11 [104 x 152 from (410, 185)]

2973.89 [140 x 154 from (89, 184)]
2973.89 [104 x 149 from (405, 185)]

3040.54 [129 x 138 from (112, 182)]
3040.54 [105 x 149 from (400, 186)]

3108.05 [117 x 125 from (125, 184)]
3108.05 [105 x 150 from (397, 189)]

3203.95 [112 x 124 from (137, 184)]
3203.95 [96 x 148 from (397, 190)]

3269.68 [112 x 129 from (141, 188)]
3269.68 [100 x 137 from (394, 188)]

3331.27 [117 x 134 from (142, 190)]
3331.27 [112 x 138 from (381, 168)]

3398.75 [113 x 124 from (146, 196)]

3472.72 [113 x 125 from (148, 196)]

3539.04 [117 x 125 from (146, 196)]

3604.17 [117 x 121 from (152, 204)]

3670.24 [110 x 120 from (160, 205)]

3749.71 [121 x 133 from (157, 209)]

3837.01 [125 x 137 from (157, 209)]
3837.01 [112 x 170 from (408, 250)]

3905.07 [112 x 161 from (413, 278)]
3905.07 [121 x 128 from (160, 221)]

3983.66 [114 x 160 from (418, 280)]
3983.66 [118 x 126 from (156, 225)]

4068.26 [116 x 160 from (420, 280)]
4068.26 [130 x 141 from (142, 224)]

4142.57 [117 x 164 from (428, 280)]
4142.57 [134 x 138 from (140, 229)]

4207.79 [114 x 165 from (434, 285)]
4207.79 [193 x 173 from (80, 226)]

4273.12 [122 x 166 from (436, 290)]

4335.64 [122 x 161 from (440, 294)]

4411.8 [122 x 168 from (444, 294)]

4473.64 [117 x 158 from (446, 300)]

4539.64 [122 x 168 from (444, 297)]

4610.16 [121 x 182 from (152, 213)]
4610.16 [120 x 158 from (441, 298)]

4673.22 [118 x 161 from (442, 297)]
4673.22 [112 x 182 from (152, 209)]

4737.54 [116 x 158 from (449, 300)]
4737.54 [117 x 172 from (137, 210)]

4804.95 [125 x 166 from (456, 300)]
4804.95 [112 x 156 from (141, 217)]

4881.18 [118 x 158 from (466, 309)]
4881.18 [118 x 170 from (133, 212)]

4944.3 [118 x 158 from (465, 312)]
4944.3 [125 x 174 from (124, 217)]

5007.42 [129 x 181 from (124, 224)]
5007.42 [124 x 164 from (454, 296)]

5074.91 [162 x 202 from (88, 229)]

5138.63 [121 x 162 from (132, 236)]

5212.69 [116 x 160 from (138, 236)]

5280.77 [117 x 166 from (141, 237)]

5347.42 [121 x 168 from (140, 236)]

5414.47 [122 x 173 from (140, 233)]

5480.08 [118 x 168 from (142, 241)]

5543.49 [118 x 166 from (141, 242)]

5606.72 [116 x 172 from (424, 280)]
5606.72 [113 x 157 from (141, 244)]

5686.03 [118 x 160 from (428, 293)]
5686.03 [125 x 172 from (126, 234)]

5751.03 [125 x 161 from (426, 285)]
5751.03 [122 x 162 from (126, 228)]

5817.18 [121 x 158 from (430, 281)]
5817.18 [125 x 162 from (122, 218)]

5885.76 [122 x 164 from (430, 273)]
5885.76 [126 x 161 from (118, 214)]

5953.17 [124 x 165 from (116, 214)]
5953.17 [125 x 164 from (434, 269)]

6016.68 [129 x 162 from (436, 268)]
6016.68 [185 x 202 from (64, 196)]

6080.67 [126 x 164 from (436, 268)]
6080.67 [132 x 140 from (144, 189)]

6148.18 [130 x 168 from (437, 254)]

6214.68 [124 x 165 from (440, 246)]

6282.54 [126 x 162 from (441, 237)]

6388.11 [126 x 166 from (441, 238)]

6450.42 [130 x 166 from (438, 252)]

6518.2 [128 x 161 from (437, 266)]
6518.2 [117 x 174 from (157, 221)]

6586.58 [125 x 180 from (162, 209)]
6586.58 [124 x 165 from (433, 272)]

6655.26 [117 x 165 from (436, 270)]
